wind_direction,rel_hum,avg_wnd_spd_10m_pst10mts,precipitation,dwpt_temp,wind_speed,air_temp,temperature,avg_wnd_dir_10m_pst10mts,rnfl_amt_pst1hr,rnfl_amt_pst24hrs,relative_humidity,time,snw_dpth,week_of_year
49.0, 81.0, 10.3, 0.0, -16.1, 11.3, -13.5, -14.6, 41.0, 0.0, 0.0, 79.0,2021-01-05 21:00:00, None,1
55.0, 79.0, 11.3, 0.0, -17.4, 9.1, -14.6, -15.4, 49.0, 0.0, 0.0, 79.0,2021-01-05 22:00:00, None,1
47.0, 79.0, 9.1, 0.0, -18.2, 8.1, -15.4, -16.3, 55.0, 0.0, 0.0, 79.0,2021-01-05 23:00:00, None,1
48.0, 79.0, 8.1, 0.0, -19.1, 6.8, -16.3, -16.5, 47.0, 0.0, 0.0, 78.0,2021-01-06 00:00:00, None,1
51.0, 78.0, 6.8, 0.0, -19.4, 6.6, -16.5, -16.4, 48.0, 0.0, 0.0, 78.0,2021-01-06 01:00:00, None,1
53.0, 78.0, 6.6, 0.0, -19.3, 7.7, -16.4, -16.7, 51.0, 0.0, 0.0, 78.0,2021-01-06 02:00:00, None,1
4.0, 78.0, 7.7, 0.0, -19.6, 2.1, -16.7, -17.5, 53.0, 0.0, 0.0, 77.0,2021-01-06 03:00:00, None,1
242.0, 77.0, 2.1, 0.0, -20.6, 0.0, -17.5, -17.9, 4.0, 0.0, 0.0, 77.0,2021-01-06 04:00:00, None,1
49.0, 77.0, 0.0, 0.0, -21.0, 6.4, -17.9, -16.1, 242.0, 0.0, 0.0, 78.0,2021-01-06 05:00:00, None,1
49.0, 78.0, 6.4, 0.0, -19.0, 4.6, -16.1, -16.2, 49.0, 0.0, 0.0, 79.0,2021-01-06 06:00:00, None,1
63.0, 79.0, 4.6, 0.0, -19.0, 2.7, -16.2, -15.8, 49.0, 0.0, 0.0, 79.0,2021-01-06 07:00:00, None,1
229.0, 79.0, 2.7, 0.0, -18.6, 2.1, -15.8, -17.8, 63.0, 0.0, 0.0, 78.0,2021-01-06 08:00:00, None,1
120.0, 78.0, 2.1, 0.0, -20.7, 1.3, -17.8, -17.9, 229.0, 0.0, 0.0, 77.0,2021-01-06 09:00:00, None,1
44.0, 77.0, 1.3, 0.0, -21.0, 2.2, -17.9, -14.7, 120.0, 0.0, 0.0, 79.0,2021-01-06 10:00:00, None,1
49.0, 79.0, 2.2, 0.0, -17.5, 8.5, -14.7, -14.0, 44.0, 0.0, 0.0, 78.0,2021-01-06 11:00:00, None,1
39.0, 78.0, 8.5, 0.0, -17.0, 9.2, -14.0, -12.5, 49.0, 0.0, 0.0, 77.0,2021-01-06 12:00:00, None,1
42.0, 77.0, 9.2, 0.0, -15.7, 6.4, -12.5, -10.7, 39.0, 0.0, 0.0, 79.0,2021-01-06 13:00:00, None,1
27.0, 79.0, 6.4, 0.0, -13.6, 2.7, -10.7, -11.5, 42.0, 0.0, 0.0, 79.0,2021-01-06 14:00:00, None,1
209.0, 79.0, 2.7, 0.0, -14.4, 0.0, -11.5, -14.4, 27.0, 0.0, 0.0, 79.0,2021-01-06 15:00:00, None,1
86.0, 79.0, 0.0, 0.0, -17.2, 0.0, -14.4, -14.2, 209.0, 0.0, 0.0, 82.0,2021-01-06 16:00:00, None,1
150.0, 82.0, 0.0, 0.0, -16.6, 0.0, -14.2, -16.5, 86.0, 0.0, 0.0, 78.0,2021-01-06 17:00:00, None,1
274.0, 78.0, 0.0, 0.0, -19.4, 0.0, -16.5, -17.0, 150.0, 0.0, 0.0, 78.0,2021-01-06 18:00:00, None,1
47.0, 78.0, 0.0, 0.0, -19.9, 0.0, -17.0, -16.0, 274.0, 0.0, 0.0, 84.0,2021-01-06 19:00:00, None,1
239.0, 84.0, 0.0, 0.0, -18.1, 0.0, -16.0, -16.2, 47.0, 0.0, 0.0, 80.0,2021-01-06 20:00:00, None,1
142.0, 80.0, 0.0, 0.0, -18.8, 0.0, -16.2, -15.8, 239.0, 0.0, 0.0, 80.0,2021-01-06 21:00:00, None,1
225.0, 80.0, 0.0, 0.0, -18.5, 0.0, -15.8, -17.3, 142.0, 0.0, 0.0, 78.0,2021-01-06 22:00:00, None,1
35.0, 78.0, 0.0, 0.0, -20.2, 0.0, -17.3, -17.1, 225.0, 0.0, 0.0, 78.0,2021-01-06 23:00:00, None,1
36.0, 78.0, 0.0, 0.0, -20.0, 0.0, -17.1, -17.2, 35.0, 0.0, 0.0, 80.0,2021-01-07 00:00:00, None,1
357.0, 80.0, 0.0, 0.0, -19.8, 0.0, -17.2, -18.7, 36.0, 0.0, 0.0, 76.0,2021-01-07 01:00:00, None,1
30.0, 76.0, 0.0, 0.0, -21.9, 0.0, -18.7, -19.6, 357.0, 0.0, 0.0, 75.0,2021-01-07 02:00:00, None,1
41.0, 75.0, 0.0, 0.0, -22.9, 0.0, -19.6, -16.8, 30.0, 0.0, 0.0, 79.0,2021-01-07 03:00:00, None,1
59.0, 79.0, 0.0, 0.0, -19.6, 0.0, -16.8, -14.9, 41.0, 0.0, 0.0, 81.0,2021-01-07 04:00:00, None,1
25.0, 81.0, 0.0, 0.0, -17.4, 0.0, -14.9, -14.1, 59.0, 0.0, 0.0, 83.0,2021-01-07 05:00:00, None,1
50.0, 83.0, 0.0, 0.0, -16.4, 0.0, -14.1, -13.9, 25.0, 0.0, 0.0, 82.0,2021-01-07 06:00:00, None,1
40.0, 82.0, 0.0, 0.0, -16.3, 0.0, -13.9, -13.2, 50.0, 0.0, 0.0, 82.0,2021-01-07 07:00:00, None,1
51.0, 82.0, 0.0, 0.0, -15.6, 0.0, -13.2, -13.4, 40.0, 0.0, 0.0, 83.0,2021-01-07 08:00:00, None,1
49.0, 83.0, 0.0, 0.0, -15.7, 0.0, -13.4, -12.7, 51.0, 0.0, 0.0, 84.0,2021-01-07 09:00:00, None,1
61.0, 84.0, 0.0, 0.0, -14.8, 0.0, -12.7, -12.0, 49.0, 0.0, 0.0, 83.0,2021-01-07 10:00:00, None,1
47.0, 83.0, 0.0, 0.0, -14.3, 0.0, -12.0, -9.7, 61.0, 0.0, 0.0, 84.0,2021-01-07 11:00:00, None,1
39.0, 84.0, 0.0, 0.0, -11.9, 0.0, -9.7, -8.9, 47.0, 0.0, 0.0, 82.0,2021-01-07 12:00:00, None,1
51.0, 82.0, 0.0, 0.0, -11.4, 8.8, -8.9, -8.1, 39.0, 0.0, 0.0, 82.0,2021-01-07 13:00:00, None,1
34.0, 82.0, 8.8, 0.0, -10.6, 6.8, -8.1, -9.0, 51.0, 0.0, 0.0, 84.0,2021-01-07 14:00:00, None,1
66.0, 84.0, 6.8, 0.0, -11.2, 6.1, -9.0, -10.4, 34.0, 0.0, 0.0, 85.0,2021-01-07 15:00:00, None,1
53.0, 85.0, 6.1, 0.0, -12.4, 6.2, -10.4, -10.3, 66.0, 0.0, 0.0, 85.0,2021-01-07 16:00:00, None,1
48.0, 85.0, 6.2, 0.0, -12.3, 8.4, -10.3, -10.3, 53.0, 0.0, 0.0, 85.0,2021-01-07 17:00:00, None,1
58.0, 85.0, 8.4, 0.0, -12.3, 8.8, -10.3, -10.2, 48.0, 0.0, 0.0, 85.0,2021-01-07 18:00:00, None,1
47.0, 85.0, 8.8, 0.0, -12.2, 7.6, -10.2, -9.8, 58.0, 0.0, 0.0, 86.0,2021-01-07 19:00:00, None,1
39.0, 86.0, 7.6, 0.0, -11.7, 10.1, -9.8, -10.0, 47.0, 0.0, 0.0, 85.0,2021-01-07 20:00:00, None,1
54.0, 85.0, 10.1, 0.0, -12.0, 10.5, -10.0, -9.4, 39.0, 0.0, 0.0, 87.0,2021-01-07 21:00:00, None,1
54.0, 87.0, 10.5, 0.0, -11.2, 8.1, -9.4, -10.8, 54.0, 0.0, 0.0, 85.0,2021-01-07 22:00:00, None,1
53.0, 85.0, 8.1, 0.0, -12.8, 8.7, -10.8, -10.1, 54.0, 0.0, 0.0, 86.0,2021-01-07 23:00:00, None,1
