wind_direction,rel_hum,avg_wnd_spd_10m_pst10mts,precipitation,dwpt_temp,wind_speed,air_temp,temperature,avg_wnd_dir_10m_pst10mts,rnfl_amt_pst1hr,rnfl_amt_pst24hrs,relative_humidity,time,week_of_year
234.0, 35.0, 12.9, 0.0, -3.4, 10.6, 11.5, 9.6, 250.0, 0.0, 0.0, 42.0,2020-04-09 13:00:00,15
254.0, 41.0, 15.4, 0.0, -2.6, 9.7, 10.1, 11.0, 226.0, 0.0, 0.0, 41.0,2020-04-09 14:00:00,15
238.0, 42.0, 10.6, 0.0, -2.7, 8.9, 9.6, 10.3, 234.0, 0.0, 0.0, 44.0,2020-04-09 15:00:00,15
268.0, 41.0, 9.7, 0.0, -1.7, 8.7, 11.0, 8.7, 254.0, 0.0, 0.0, 48.0,2020-04-09 16:00:00,15
242.0, 44.0, 8.9, 0.0, -1.4, 10.9, 10.3, 6.4, 238.0, 0.0, 0.0, 56.0,2020-04-09 17:00:00,15
244.0, 48.0, 8.7, 0.0, -1.7, 8.8, 8.7, 4.6, 268.0, 0.0, 0.0, 64.0,2020-04-09 18:00:00,15
158.0, 56.0, 10.9, 0.0, -1.7, 2.4, 6.4, 3.0, 242.0, 0.0, 0.0, 72.0,2020-04-09 19:00:00,15
238.0, 64.0, 8.8, 0.0, -1.6, 5.7, 4.6, 2.7, 244.0, 0.0, 0.0, 74.0,2020-04-09 20:00:00,15
265.0, 72.0, 2.4, 0.0, -1.5, 6.3, 3.0, 2.8, 158.0, 0.0, 0.0, 73.0,2020-04-09 21:00:00,15
266.0, 74.0, 5.7, 0.0, -1.5, 10.0, 2.7, 2.5, 238.0, 0.0, 0.0, 73.0,2020-04-09 22:00:00,15
261.0, 73.0, 6.3, 0.0, -1.6, 8.5, 2.8, 2.3, 265.0, 0.0, 0.0, 74.0,2020-04-09 23:00:00,15
271.0, 73.0, 10.0, 0.0, -1.8, 8.2, 2.5, 2.3, 266.0, 0.0, 0.0, 75.0,2020-04-10 00:00:00,15
279.0, 74.0, 8.5, 0.0, -1.9, 4.1, 2.3, 2.1, 261.0, 0.0, 0.0, 75.0,2020-04-10 01:00:00,15
285.0, 75.0, 8.2, 0.0, -1.7, 4.6, 2.3, 1.7, 271.0, 0.0, 0.0, 77.0,2020-04-10 02:00:00,15
263.0, 75.0, 4.1, 0.0, -1.9, 2.9, 2.1, 1.2, 279.0, 0.0, 0.0, 76.0,2020-04-10 03:00:00,15
346.0, 77.0, 4.6, 0.0, -1.9, 2.6, 1.7, 0.5, 285.0, 0.0, 0.0, 79.0,2020-04-10 04:00:00,15
322.0, 76.0, 2.9, 0.0, -2.6, 2.5, 1.2, 0.2, 263.0, 0.0, 0.0, 77.0,2020-04-10 05:00:00,15
321.0, 79.0, 2.6, 0.0, -2.7, 3.8, 0.5, 1.5, 346.0, 0.0, 0.0, 64.0,2020-04-10 06:00:00,15
320.0, 77.0, 2.5, 0.0, -3.4, 5.9, 0.2, 2.5, 322.0, 0.0, 0.0, 52.0,2020-04-10 07:00:00,15
325.0, 64.0, 3.8, 0.0, -4.6, 5.6, 1.5, 5.0, 321.0, 0.0, 0.0, 46.0,2020-04-10 08:00:00,15
295.0, 52.0, 5.9, 0.0, -6.4, 7.0, 2.5, 5.8, 320.0, 0.0, 0.0, 40.0,2020-04-10 09:00:00,15
295.0, 46.0, 5.6, 0.0, -5.7, 7.0, 5.0, 6.4, 325.0, 0.0, 0.0, 38.0,2020-04-10 10:00:00,15
315.0, 40.0, 7.0, 0.0, -6.8, 9.2, 5.8, 5.1, 295.0, 0.0, 0.0, 37.0,2020-04-10 11:00:00,15
327.0, 38.0, 7.0, 0.0, -6.9, 9.0, 6.4, 7.6, 295.0, 0.0, 0.0, 34.0,2020-04-10 12:00:00,15
316.0, 37.0, 9.2, 0.0, -8.4, 9.0, 5.1, 8.7, 315.0, 0.0, 0.0, 25.0,2020-04-10 13:00:00,15
308.0, 34.0, 9.0, 0.0, -7.3, 9.3, 7.6, 8.5, 327.0, 0.0, 0.0, 24.0,2020-04-10 14:00:00,15
306.0, 25.0, 9.0, 0.0, -10.2, 8.6, 8.7, 7.5, 316.0, 0.0, 0.0, 19.0,2020-04-10 15:00:00,15
300.0, 24.0, 9.3, 0.0, -10.9, 8.9, 8.5, 6.6, 308.0, 0.0, 0.0, 24.0,2020-04-10 16:00:00,15
11.0, 19.0, 8.6, 0.0, -14.7, 9.2, 7.5, 3.3, 306.0, 0.0, 0.0, 30.0,2020-04-10 17:00:00,15
18.0, 24.0, 8.9, 0.0, -12.5, 10.2, 6.6, 1.3, 300.0, 0.0, 0.0, 42.0,2020-04-10 18:00:00,15
21.0, 30.0, 9.2, 0.0, -12.6, 7.1, 3.3, -0.5, 11.0, 0.0, 0.0, 59.0,2020-04-10 19:00:00,15
347.0, 42.0, 10.2, 0.0, -10.2, 2.2, 1.3, -2.5, 18.0, 0.0, 0.0, 67.0,2020-04-10 20:00:00,15
344.0, 59.0, 7.1, 0.0, -7.5, 3.5, -0.5, -3.4, 21.0, 0.0, 0.0, 62.0,2020-04-10 21:00:00,15
352.0, 67.0, 2.2, 0.0, -7.8, 4.1, -2.5, -3.7, 347.0, 0.0, 0.0, 61.0,2020-04-10 22:00:00,15
321.0, 62.0, 3.5, 0.0, -9.6, 3.7, -3.4, -4.6, 344.0, 0.0, 0.0, 64.0,2020-04-10 23:00:00,15
319.0, 61.0, 4.1, 0.0, -10.1, 3.3, -3.7, -5.5, 352.0, 0.0, 0.0, 68.0,2020-04-11 00:00:00,15
293.0, 64.0, 3.7, 0.0, -10.4, 3.6, -4.6, -6.5, 321.0, 0.0, 0.0, 73.0,2020-04-11 01:00:00,15
328.0, 68.0, 3.3, 0.0, -10.5, 2.8, -5.5, -7.8, 319.0, 0.0, 0.0, 76.0,2020-04-11 02:00:00,15
295.0, 73.0, 3.6, 0.0, -10.5, 2.8, -6.5, -8.3, 293.0, 0.0, 0.0, 79.0,2020-04-11 03:00:00,15
269.0, 76.0, 2.8, 0.0, -11.3, 3.6, -7.8, -9.2, 328.0, 0.0, 0.0, 82.0,2020-04-11 04:00:00,15
279.0, 79.0, 2.8, 0.0, -11.3, 2.8, -8.3, -9.5, 295.0, 0.0, 0.0, 83.0,2020-04-11 05:00:00,15
302.0, 82.0, 3.6, 0.0, -11.7, 3.4, -9.2, -6.7, 269.0, 0.0, 0.0, 63.0,2020-04-11 06:00:00,15
60.0, 83.0, 2.8, 0.0, -11.8, 3.7, -9.5, -2.4, 279.0, 0.0, 0.0, 40.0,2020-04-11 07:00:00,15
97.0, 63.0, 3.4, 0.0, -12.6, 5.7, -6.7, -0.5, 302.0, 0.0, 0.0, 32.0,2020-04-11 08:00:00,15
27.0, 40.0, 3.7, 0.0, -14.2, 5.3, -2.4, 1.8, 60.0, 0.0, 0.0, 27.0,2020-04-11 09:00:00,15
7.0, 32.0, 5.7, 0.0, -15.2, 6.2, -0.5, 2.9, 97.0, 0.0, 0.0, 22.0,2020-04-11 10:00:00,15
358.0, 27.0, 5.3, 0.0, -15.2, 7.0, 1.8, 3.7, 27.0, 0.0, 0.0, 23.0,2020-04-11 11:00:00,15
96.0, 22.0, 6.2, 0.0, -16.7, 5.2, 2.9, 5.8, 7.0, 0.0, 0.0, 18.0,2020-04-11 12:00:00,15
60.0, 23.0, 7.0, 0.0, -15.5, 4.0, 3.7, 7.2, 358.0, 0.0, 0.0, 18.0,2020-04-11 13:00:00,15
326.0, 18.0, 5.2, 0.0, -16.7, 7.3, 5.8, 6.4, 96.0, 0.0, 0.0, 18.0,2020-04-11 14:00:00,15
346.0, 18.0, 4.0, 0.0, -15.6, 5.6, 7.2, 6.6, 60.0, 0.0, 0.0, 18.0,2020-04-11 15:00:00,15
344.0, 18.0, 7.3, 0.0, -16.2, 7.5, 6.4, 5.5, 326.0, 0.0, 0.0, 18.0,2020-04-11 16:00:00,15
326.0, 18.0, 5.6, 0.0, -16.1, 6.5, 6.6, 1.7, 346.0, 0.0, 0.0, 27.0,2020-04-11 17:00:00,15
285.0, 18.0, 7.5, 0.0, -17.0, 2.1, 5.5, -1.6, 344.0, 0.0, 0.0, 36.0,2020-04-11 18:00:00,15
260.0, 27.0, 6.5, 0.0, -15.3, 4.2, 1.7, -3.9, 326.0, 0.0, 0.0, 45.0,2020-04-11 19:00:00,15
260.0, 36.0, 2.1, 0.0, -14.7, 4.1, -1.6, -4.5, 285.0, 0.0, 0.0, 51.0,2020-04-11 20:00:00,15
246.0, 45.0, 4.2, 0.0, -14.1, 0.1, -3.9, -6.3, 260.0, 0.0, 0.0, 64.0,2020-04-11 21:00:00,15
148.0, 51.0, 4.1, 0.0, -13.1, 2.1, -4.5, -7.7, 260.0, 0.0, 0.0, 70.0,2020-04-11 22:00:00,15
247.0, 64.0, 0.1, 0.0, -12.0, 0.8, -6.3, -9.0, 246.0, 0.0, 0.0, 69.0,2020-04-11 23:00:00,15
321.0, 70.0, 2.1, 0.0, -12.2, 0.3, -7.7, -9.5, 148.0, 0.0, 0.0, 71.0,2020-04-12 00:00:00,15
290.0, 69.0, 0.8, 0.0, -13.6, 3.6, -9.0, -8.4, 247.0, 0.0, 0.0, 77.0,2020-04-12 01:00:00,15
305.0, 71.0, 0.3, 0.0, -13.8, 2.2, -9.5, -7.0, 321.0, 0.0, 0.0, 51.0,2020-04-12 02:00:00,15
228.0, 77.0, 3.6, 0.0, -11.7, 1.6, -8.4, -9.3, 290.0, 0.0, 0.0, 69.0,2020-04-12 03:00:00,15
291.0, 51.0, 2.2, 0.0, -15.4, 2.9, -7.0, -8.9, 305.0, 0.0, 0.0, 62.0,2020-04-12 04:00:00,15
267.0, 69.0, 1.6, 0.0, -13.9, 3.4, -9.3, -8.8, 228.0, 0.0, 0.0, 63.0,2020-04-12 05:00:00,15
291.0, 62.0, 2.9, 0.0, -14.9, 4.0, -8.9, -5.3, 291.0, 0.0, 0.0, 51.0,2020-04-12 06:00:00,15
342.0, 63.0, 3.4, 0.0, -14.6, 3.6, -8.8, 1.1, 267.0, 0.0, 0.0, 29.0,2020-04-12 07:00:00,15
321.0, 51.0, 4.0, 0.0, -13.9, 5.2, -5.3, 3.3, 291.0, 0.0, 0.0, 25.0,2020-04-12 08:00:00,15
13.0, 29.0, 3.6, 0.0, -15.0, 6.6, 1.1, 4.5, 342.0, 0.0, 0.0, 23.0,2020-04-12 09:00:00,15
2.0, 25.0, 5.2, 0.0, -14.9, 7.8, 3.3, 6.1, 321.0, 0.0, 0.0, 18.0,2020-04-12 10:00:00,15
294.0, 23.0, 6.6, 0.0, -14.9, 8.1, 4.5, 6.3, 13.0, 0.0, 0.0, 19.0,2020-04-12 11:00:00,15
302.0, 18.0, 7.8, 0.0, -16.5, 7.6, 6.1, 7.5, 2.0, 0.0, 0.0, 18.0,2020-04-12 12:00:00,15
314.0, 19.0, 8.1, 0.0, -15.7, 8.5, 6.3, 7.6, 294.0, 0.0, 0.0, 17.0,2020-04-12 13:00:00,15
333.0, 18.0, 7.6, 0.0, -15.3, 7.8, 7.5, 7.8, 302.0, 0.0, 0.0, 18.0,2020-04-12 14:00:00,15
322.0, 17.0, 8.5, 0.0, -15.9, 6.8, 7.6, 7.5, 314.0, 0.0, 0.0, 19.0,2020-04-12 15:00:00,15
280.0, 18.0, 7.8, 0.0, -15.1, 5.9, 7.8, 7.3, 333.0, 0.0, 0.0, 17.0,2020-04-12 16:00:00,15
303.0, 19.0, 6.8, 0.0, -14.7, 5.5, 7.5, 3.4, 322.0, 0.0, 0.0, 23.0,2020-04-12 17:00:00,15
283.0, 17.0, 5.9, 0.0, -16.2, 3.1, 7.3, 0.1, 280.0, 0.0, 0.0, 35.0,2020-04-12 18:00:00,15
217.0, 23.0, 5.5, 0.0, -15.8, 4.6, 3.4, -3.0, 303.0, 0.0, 0.0, 47.0,2020-04-12 19:00:00,15
267.0, 35.0, 3.1, 0.0, -13.6, 3.6, 0.1, -4.5, 283.0, 0.0, 0.0, 58.0,2020-04-12 20:00:00,15
244.0, 47.0, 4.6, 0.0, -12.7, 2.3, -3.0, -3.6, 217.0, 0.0, 0.0, 47.0,2020-04-12 21:00:00,15
258.0, 58.0, 3.6, 0.0, -11.5, 1.2, -4.5, -4.5, 267.0, 0.0, 0.0, 54.0,2020-04-12 22:00:00,15
141.0, 47.0, 2.3, 0.0, -13.3, 2.1, -3.6, -5.1, 244.0, 0.0, 0.0, 47.0,2020-04-12 23:00:00,15
128.0, 54.0, 1.2, 0.0, -12.4, 0.9, -4.5, -5.4, 258.0, 0.0, 0.0, 49.0,2020-04-13 00:00:00,15
240.0, 47.0, 2.1, 0.0, -14.7, 5.8, -5.1, -3.2, 141.0, 0.0, 0.0, 35.0,2020-04-13 01:00:00,15
234.0, 49.0, 0.9, 0.0, -14.4, 7.5, -5.4, -2.1, 128.0, 0.0, 0.0, 39.0,2020-04-13 02:00:00,15
244.0, 35.0, 5.8, 0.0, -16.5, 9.9, -3.2, -0.8, 240.0, 0.0, 0.0, 32.0,2020-04-13 03:00:00,15
192.0, 39.0, 7.5, 0.0, -14.2, 2.8, -2.1, -2.2, 234.0, 0.0, 0.0, 38.0,2020-04-13 04:00:00,15
251.0, 32.0, 9.9, 0.0, -15.4, 8.1, -0.8, -0.2, 244.0, 0.0, 0.0, 42.0,2020-04-13 05:00:00,15
68.0, 38.0, 2.8, 0.0, -14.6, 2.2, -2.2, 0.9, 192.0, 0.0, 0.0, 31.0,2020-04-13 06:00:00,15
102.0, 42.0, 8.1, 0.0, -11.6, 3.2, -0.2, 4.4, 251.0, 0.0, 0.0, 24.0,2020-04-13 07:00:00,15
270.0, 31.0, 2.2, 0.0, -14.3, 11.0, 0.9, 7.0, 68.0, 0.0, 0.0, 17.0,2020-04-13 08:00:00,15
241.0, 24.0, 3.2, 0.0, -14.4, 8.4, 4.4, 8.9, 102.0, 0.0, 0.0, 16.0,2020-04-13 09:00:00,15
251.0, 17.0, 11.0, 0.0, -16.4, 10.6, 7.0, 10.3, 270.0, 0.0, 0.0, 11.0,2020-04-13 10:00:00,15
256.0, 16.0, 8.4, 0.0, -15.6, 6.6, 8.9, 12.2, 241.0, 0.0, 0.0, 10.0,2020-04-13 11:00:00,15
264.0, 11.0, 10.6, 0.0, -18.9, 13.3, 10.3, 10.8, 251.0, 0.0, 0.0, 17.0,2020-04-13 12:00:00,15
275.0, 10.0, 6.6, 0.0, -18.6, 7.1, 12.2, 8.3, 256.0, 0.0, 0.0, 37.0,2020-04-13 13:00:00,15
246.0, 17.0, 13.3, 0.0, -13.3, 8.6, 10.8, 6.5, 264.0, 0.0, 0.0, 59.0,2020-04-13 14:00:00,15
285.0, 37.0, 7.1, 0.0, -5.5, 9.5, 8.3, 5.9, 275.0, 0.0, 0.0, 68.0,2020-04-13 15:00:00,15
262.0, 59.0, 8.6, 0.0, -0.9, 6.6, 6.5, 6.8, 246.0, 0.0, 0.0, 48.0,2020-04-13 16:00:00,15
285.0, 68.0, 9.5, 0.0, 0.5, 12.5, 5.9, 6.4, 285.0, 0.0, 0.0, 51.0,2020-04-13 17:00:00,15
252.0, 48.0, 6.6, 0.0, -3.4, 16.4, 6.8, 5.2, 262.0, 0.0, 0.0, 53.0,2020-04-13 18:00:00,15
269.0, 51.0, 12.5, 0.0, -3.0, 11.7, 6.4, 4.3, 285.0, 0.0, 0.0, 60.0,2020-04-13 19:00:00,15
266.0, 53.0, 16.4, 0.0, -3.6, 11.4, 5.2, 4.4, 252.0, 0.0, 0.0, 55.0,2020-04-13 20:00:00,15
267.0, 60.0, 11.7, 0.0, -2.8, 14.2, 4.3, 4.4, 269.0, 0.0, 0.0, 54.0,2020-04-13 21:00:00,15
260.0, 55.0, 11.4, 0.0, -3.8, 13.3, 4.4, 4.3, 266.0, 0.0, 0.0, 55.0,2020-04-13 22:00:00,15
268.0, 54.0, 14.2, 0.0, -4.1, 12.5, 4.4, 4.6, 267.0, 0.0, 0.0, 57.0,2020-04-13 23:00:00,15
280.0, 55.0, 13.3, 0.0, -3.9, 10.6, 4.3, 4.3, 260.0, 0.0, 0.0, 60.0,2020-04-14 00:00:00,15
273.0, 57.0, 12.5, 0.0, -3.2, 10.4, 4.6, 4.4, 268.0, 0.0, 0.0, 63.0,2020-04-14 01:00:00,15
262.0, 60.0, 10.6, 0.0, -2.8, 12.0, 4.3, 3.7, 280.0, 0.0, 0.0, 82.0,2020-04-14 02:00:00,15
285.0, 63.0, 10.4, 0.2, -2.0, 8.7, 4.4, 3.8, 273.0, 0.0, 0.0, 82.0,2020-04-14 03:00:00,15
270.0, 82.0, 12.0, 0.0, 0.9, 11.6, 3.7, 4.5, 262.0, 0.0, 0.0, 72.0,2020-04-14 04:00:00,15
267.0, 82.0, 8.7, 0.0, 1.0, 10.5, 3.8, 4.7, 285.0, 0.2, 0.2, 79.0,2020-04-14 05:00:00,15
255.0, 72.0, 11.6, 0.6, -0.1, 10.7, 4.5, 4.8, 270.0, 0.0, 0.2, 85.0,2020-04-14 06:00:00,15
257.0, 79.0, 10.5, 0.8, 1.4, 10.0, 4.7, 5.3, 267.0, 0.0, 0.2, 88.0,2020-04-14 07:00:00,15
271.0, 85.0, 10.7, 0.2, 2.5, 10.2, 4.8, 6.8, 255.0, 0.6, 0.8, 80.0,2020-04-14 08:00:00,15
265.0, 88.0, 10.0, 0.0, 3.5, 11.0, 5.3, 7.3, 257.0, 0.8, 1.6, 75.0,2020-04-14 09:00:00,15
274.0, 80.0, 10.2, 0.0, 3.6, 13.3, 6.8, 9.4, 271.0, 0.2, 1.8, 61.0,2020-04-14 10:00:00,15
272.0, 75.0, 11.0, 0.0, 3.2, 14.8, 7.3, 10.9, 265.0, 0.0, 1.8, 54.0,2020-04-14 11:00:00,15
285.0, 61.0, 13.3, 0.0, 2.3, 10.9, 9.4, 10.7, 274.0, 0.0, 1.8, 53.0,2020-04-14 12:00:00,15
302.0, 54.0, 14.8, 0.0, 2.0, 14.8, 10.9, 12.6, 272.0, 0.0, 1.8, 43.0,2020-04-14 13:00:00,15
302.0, 53.0, 10.9, 0.0, 1.5, 14.4, 10.7, 11.8, 285.0, 0.0, 1.8, 43.0,2020-04-14 14:00:00,15
287.0, 43.0, 14.8, 0.0, 0.4, 15.1, 12.6, 12.8, 302.0, 0.0, 1.8, 40.0,2020-04-14 15:00:00,15
291.0, 43.0, 14.4, 0.0, -0.4, 16.0, 11.8, 11.5, 302.0, 0.0, 1.8, 39.0,2020-04-14 16:00:00,15
293.0, 40.0, 15.1, 0.0, -0.5, 13.2, 12.8, 8.9, 287.0, 0.0, 1.8, 48.0,2020-04-14 17:00:00,15
286.0, 39.0, 16.0, 0.0, -2.0, 6.9, 11.5, 7.3, 291.0, 0.0, 1.8, 53.0,2020-04-14 18:00:00,15
196.0, 48.0, 13.2, 0.8, -1.5, 4.2, 8.9, 2.3, 293.0, 0.0, 1.8, 94.0,2020-04-14 19:00:00,15
235.0, 53.0, 6.9, 0.0, -1.6, 5.0, 7.3, 1.8, 286.0, 0.0, 1.8, 96.0,2020-04-14 20:00:00,15
277.0, 94.0, 4.2, 0.0, 1.4, 2.9, 2.3, 1.3, 196.0, 0.8, 2.6, 97.0,2020-04-14 21:00:00,15
310.0, 96.0, 5.0, 0.0, 1.2, 0.8, 1.8, 0.3, 235.0, 0.0, 2.6, 97.0,2020-04-14 22:00:00,15
235.0, 97.0, 2.9, 0.0, 0.9, 3.4, 1.3, -0.8, 277.0, 0.0, 2.6, 97.0,2020-04-14 23:00:00,15
